AWA,AWS,HOG,COG,SOG,Current Speed,Current Angle,LAT,LNG,Rudder,Tail Angle,Steer Scheme,Steer Point,Bearing,Prop Scheme,Prop Point
-30.6315798866,10.6558208845,37.7321724935,37.7321724935,2.15236354827,0.0,180,8.85435859055e-05,7.37247293754e-05,0,-15.0,1,-30.0,-5.20208909652,0,100.0
-30.5449622626,10.7062517826,37.7321724935,37.7321724935,2.188792572,0.0,180,9.24355627669e-05,7.67362833181e-05,0,-15.0,1,-30.0,-5.43933673032,0,100.0
-30.475794741,10.7797444539,37.7321724935,37.7321724935,2.2249133553,0.0,180,9.63917673923e-05,7.97975357515e-05,0,-15.0,1,-30.0,-5.68266526455,0,100.0
-30.3712704423,10.7918508494,37.7321724935,37.7321724935,2.25932133368,0.0,180,0.000100409154177,8.29061300319e-05,0,-15.0,1,-30.0,-5.93201254171,0,100.0
-30.2708772443,10.8070311247,37.7321724935,37.7321724935,2.29318351634,0.0,180,0.00010448675262,8.60613152003e-05,0,-15.0,1,-30.0,-6.18744376925,0,100.0
-30.0517212048,10.6531302209,37.7321724935,37.7321724935,2.32653133162,0.0,180,0.000108623648106,8.926238354e-05,0,-15.0,1,-30.0,-6.4490290742,0,100.0
-29.9083400131,10.601428204,37.7321724935,37.7321724935,2.35819533028,0.0,180,0.000112816846574,9.25070182922e-05,0,-15.0,1,-30.0,-6.71670664342,0,100.0
-29.7637663045,10.5459204838,37.7321724935,37.7321724935,2.38891890504,0.0,180,0.000117064675821,9.57939255301e-05,0,-15.0,1,-30.0,-6.99049645295,0,100.0
-29.7511438571,10.6605798368,37.7321724935,37.7321724935,2.41869274618,0.0,180,0.000121365447087,9.91217985177e-05,0,-15.0,1,-30.0,-7.27041658821,0,100.0
-29.7250488355,10.7579846448,37.7321724935,37.7321724935,2.44872068997,0.0,180,0.000125719612204,0.000102490986874,0,-15.0,1,-30.0,-7.55662550589,0,100.0
-29.6101777684,10.7374590875,37.7321724935,37.7321724935,2.47887777997,0.0,180,0.000130127400811,0.000105901668291,0,-15.0,1,-30.0,-7.84927132587,0,100.0
-29.5597455809,10.7984770917,37.7321724935,37.7321724935,2.50833941503,0.0,180,0.000134587576293,0.000109352885895,0,-15.0,1,-30.0,-8.14840732112,0,100.0
-29.5361552254,10.8935880447,37.7321724935,37.7321724935,2.53768687201,0.0,180,0.000139099935624,0.000112844482587,0,-15.0,1,-30.0,-8.45415713787,0,100.0
-29.4042210252,10.8467256893,37.7321724935,37.7321724935,2.56715994551,0.0,180,0.00014366470217,0.000116376631204,0,-15.0,1,-30.0,-8.76667654174,0,100.0
-29.2999548968,10.8119020718,37.7321724935,37.7321724935,2.59072554809,0.0,180,0.000148271371626,0.000119941203671,0,-15.0,1,-30.0,-9.08537923226,0,100.0
-29.2355602563,10.8254351957,37.7321724935,37.7321724935,2.61363291784,0.0,180,0.000152918773564,0.000123537294328,0,-15.0,1,-30.0,-9.41030722394,0,100.0
-29.0342744612,10.668134691,37.7321724935,37.7321724935,2.63620879091,0.0,180,0.000157606318536,0.00012716444707,0,-15.0,1,-30.0,-9.74154276744,0,100.0
-29.0061352163,10.7192677576,37.7321724935,37.7321724935,2.65734754363,0.0,180,0.000162331451143,0.000130820684565,0,-15.0,1,-30.0,-10.0790275207,0,100.0
-28.9620984264,10.7504881158,37.7321724935,37.7321724935,2.67843187365,0.0,180,0.000167094074614,0.000134505931935,0,-15.0,1,-30.0,-10.42287595,0,100.0
-28.7937470853,10.6319311078,37.8160483092,37.7321724935,2.69933319633,0.0,180,0.000171893863537,0.00013821993738,1,-15.0,1,-30.0,-10.7731875254,0,100.0
-28.7669419431,10.5997924768,37.9005156549,37.8160483092,2.71908019138,0.0,180,0.000176723283437,0.000141968186509,1,-15.0,1,-30.0,-11.1303928811,0,100.0
-28.6535736074,10.4679256819,37.9855372257,37.9005156549,2.73825636632,0.0,180,0.000181581192529,0.000145750035773,1,-15.0,1,-30.0,-11.4945438096,0,100.0
-28.3751201762,10.160960549,38.0708955502,37.9855372257,2.75622319773,0.0,180,0.000186465322255,0.000149563951101,1,-15.0,1,-30.0,-11.8656029015,0,100.0
-28.4802809623,10.2415622241,38.1565994846,38.0708955502,2.76714005595,0.0,180,0.000191363087206,0.000153400273462,1,-15.0,1,-30.0,-12.2427241775,0,100.0
